gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3097060727	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/74184993	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		UY		Canelones	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-34.604054	-56.108951	2091.0						2021-04-16T00:00:00	16	4	2021	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	74184993		Ramiro Pereira Garbero	2021-04-16T22:49:08	CC_BY_NC_4_0	Ramiro Pereira Garbero	Ramiro Pereira Garbero			2021-05-02T20:38:05.309Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090873520	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73677497	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.468614	-77.843596	31451.0						2019-12-15T19:59:00	15	12	2019	2434930	2434930	HUMAN_OBSERVATION	iNaturalist	Observations	73677497		Ben	2021-04-11T22:21:52	CC_BY_NC_4_0	Ben	Ben			2021-05-02T20:17:31.345Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090838139	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73500170	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus		CO		Antioquia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.330025	-76.14253	31356.0						2020-12-09T06:29:00	9	12	2020	2434930	2434930	HUMAN_OBSERVATION	iNaturalist	Observations	73500170		Juan Carlos Delgado Madrid	2021-04-10T15:51:42	CC_BY_NC_4_0	Juan Carlos Delgado Madrid	Juan Carlos Delgado Madrid			2021-05-02T20:36:31.857Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090679841	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63099790	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.197307	-61.710434	3407.0						2020-10-20T13:25:00	20	10	2020	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	63099790		Nicolas Olejnik	2020-10-20T22:57:16	CC_BY_NC_4_0	raquelborghino	raquelborghino			2021-05-02T20:35:22.114Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090630534	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/25803525	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus guttulus		SPECIES	Leopardus guttulus (Hensel, 1872)	Leopardus guttulus		BR		Paraná	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-25.921713	-49.589683	29913.0						2018-01-02T00:00:00	2	1	2018	7740958	7740958	HUMAN_OBSERVATION	iNaturalist	Observations	25803525		Michele Chiacchio	2019-10-30T13:21:03	CC_BY_4_0	JJ Stupka	JJ Stupka			2021-05-02T20:32:56.829Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090602055	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73382764	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus geoffroyi		SPECIES	Leopardus geoffroyi (d'Orbigny & Gervais, 1844)	Leopardus geoffroyi		AR		Santa Fe	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-32.015921	-61.415999	122.0						2018-01-19T08:32:00	19	1	2018	2434942	2434942	HUMAN_OBSERVATION	iNaturalist	Observations	73382764		Patricio Cowper Coles	2021-04-09T12:40:30	CC_BY_4_0	Patricio Cowper Coles	Patricio Cowper Coles			2021-05-02T20:52:26.446Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3090552059	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/73400243	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus		CO		Antioquia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	6.917497	-76.290322	31337.0						2020-10-28T21:03:00	28	10	2020	2434930	2434930	HUMAN_OBSERVATION	iNaturalist	Observations	73400243		Juan Carlos Delgado Madrid	2021-04-09T16:37:11	CC_BY_NC_4_0	Juan Carlos Delgado Madrid	Juan Carlos Delgado Madrid			2021-05-02T20:17:55.582Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3081064028	33aa7801-e09f-4dd0-8684-0e98fe53b74d	INCIVA:Parcela_Permanente_Mamiferos:CCT-022	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus	(Schreber, 1775)	CO	Hacienda El Volcán	Valle del Cauca	PRESENT	1	a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31	4.02064	-76.353607			1104.5	54.5			2020-08-16T00:00:00	16	8	2020	2434930	2434930	MACHINE_OBSERVATION	Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA				Tatiana Velasquez Roa	2020-08-16T00:00:00	CC_BY_4_0		Tatiana Velasquez Roa			2021-04-21T20:51:11.274Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3081064026	33aa7801-e09f-4dd0-8684-0e98fe53b74d	INCIVA:Parcela_Permanente_Mamiferos:CCT-021	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus	(Schreber, 1775)	CO	Hacienda El Volcán	Valle del Cauca	PRESENT	1	a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31	4.02064	-76.353607			1104.5	54.5			2020-08-16T00:00:00	16	8	2020	2434930	2434930	MACHINE_OBSERVATION	Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA				Tatiana Velasquez Roa	2020-08-16T00:00:00	CC_BY_4_0		Tatiana Velasquez Roa			2021-04-21T20:51:11.273Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3081063988	33aa7801-e09f-4dd0-8684-0e98fe53b74d	INCIVA:Parcela_Permanente_Mamiferos:CCT-017	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus tigrinus		SPECIES	Leopardus tigrinus (Schreber, 1775)	Leopardus tigrinus	(Schreber, 1775)	CO	Hacienda El Volcán	Valle del Cauca	PRESENT	1	a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31	4.02064	-76.353607			1104.5	54.5			2020-08-08T00:00:00	8	8	2020	2434930	2434930	MACHINE_OBSERVATION	Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA				Tatiana Velasquez Roa	2020-08-08T00:00:00	CC_BY_4_0		Tatiana Velasquez Roa			2021-04-21T20:51:11.224Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
