family,species,lon,lat,year,country
Felidae,Leopardus geoffroyi,-56.108951,-34.604054,2021,UY
Felidae,Leopardus tigrinus,-77.843596,-0.468614,2019,EC
Felidae,Leopardus tigrinus,-76.14253,6.330025,2020,CO
Felidae,Leopardus geoffroyi,-61.710434,-32.197307,2020,AR
Felidae,Leopardus guttulus,-49.589683,-25.921713,2018,BR
Felidae,Leopardus geoffroyi,-61.415999,-32.015921,2018,AR
Felidae,Leopardus tigrinus,-76.290322,6.917497,2020,CO
Felidae,Leopardus tigrinus,-76.353607,4.02064,2020,CO
Felidae,Leopardus tigrinus,-76.353607,4.02064,2020,CO
Felidae,Leopardus tigrinus,-76.353607,4.02064,2020,CO
Felidae,Leopardus geoffroyi,-53.644409,-33.970358,2013,UY
Felidae,Leopardus guigna,-73.974358,-42.334277,2019,CL
Felidae,Leopardus geoffroyi,-61.012476,-31.483287,2021,AR
Felidae,Leopardus geoffroyi,-61.011444,-31.48399,2021,AR
Felidae,Leopardus geoffroyi,-57.481546,-28.646919,2005,AR
Felidae,Leopardus geoffroyi,-54.626148,-34.568534,2016,UY
Felidae,Leopardus tigrinus,-52.73528,4.0705,2010,GF
Felidae,Leopardus tigrinus,-53.43138,3.73168,2010,GF
Felidae,Leopardus tigrinus,-53.26107,3.69234,2010,GF
Felidae,Leopardus tigrinus,-52.13713,4.58023,2010,GF
Felidae,Leopardus tigrinus,-52.07192,4.10751,2010,GF
Felidae,Leopardus tigrinus,-53.2178,2.44257,2010,GF
Felidae,Leopardus geoffroyi,-59.930308,-30.579558,2021,AR
Felidae,Leopardus guttulus,-46.199262,-23.248583,2012,BR
Felidae,Leopardus geoffroyi,-58.130701,-34.760845,2018,AR
Felidae,Leopardus guttulus,-48.626523,-21.212646,2013,BR
Felidae,Leopardus geoffroyi,-58.888901,-34.21045,2018,AR
Felidae,Leopardus geoffroyi,-61.546045,-38.998172,2021,AR
Felidae,Leopardus geoffroyi,-58.460139,-33.039793,2021,AR
Felidae,Leopardus geoffroyi,-61.546027,-38.998176,2021,AR
Felidae,Leopardus tigrinus,-71.339167,4.790352,1911,CO
Felidae,Leopardus guigna,-72.660522,-46.59801,2021,CL
Felidae,Leopardus geoffroyi,-59.834313,-29.960665,2021,AR
Felidae,Leopardus guigna,-72.7632,-41.281839,2021,CL
Felidae,Leopardus geoffroyi,-58.896793,-32.256522,2015,AR
Felidae,Leopardus geoffroyi,-60.48515,-31.730108,2020,AR
Felidae,Leopardus geoffroyi,-60.522944,-31.834262,2020,AR
Felidae,Leopardus geoffroyi,-60.591736,-32.818732,2012,AR
Felidae,Leopardus geoffroyi,-60.281364,-32.02125,2020,AR
Felidae,Leopardus geoffroyi,-59.195804,-31.818835,2020,AR
Felidae,Leopardus geoffroyi,-58.643383,-34.440227,2021,AR
Felidae,Leopardus geoffroyi,-58.862635,-32.373022,2020,AR
Felidae,Leopardus geoffroyi,-60.501923,-31.780425,2020,AR
Felidae,Leopardus guigna,-73.030766,-41.35856,2020,CL
Felidae,Leopardus geoffroyi,-60.527622,-31.836869,2020,AR
Felidae,Leopardus geoffroyi,-60.281255,-32.021588,2020,AR
Felidae,Leopardus geoffroyi,-60.621187,-32.065025,2020,AR
Felidae,Leopardus guigna,-71.315318,-33.225242,2020,CL
Felidae,Leopardus geoffroyi,-57.196593,-28.547168,2012,AR
Felidae,Leopardus guigna,-72.37619,-40.237684,2020,CL
Felidae,Leopardus guttulus,-47.4,-22.56,1987,BR
Felidae,Leopardus tigrinus,-39.455278,-13.048056,NA,BR
Felidae,Leopardus guttulus,-46.33,-23.96,2004,BR
Felidae,Leopardus guttulus,-46.549722,-23.110278,1993,BR
Felidae,Leopardus guttulus,-46.712778,-21.305556,NA,BR
Felidae,Leopardus geoffroyi,-58.643578,-34.440175,2020,AR
Felidae,Leopardus geoffroyi,-60.021827,-33.498029,2017,AR
Felidae,Leopardus geoffroyi,-55.470927,-34.785726,2020,UY
Felidae,Leopardus geoffroyi,-60.675707,-32.849658,2020,AR
Felidae,Leopardus guttulus,-51.828889,-27.169849,2020,BR
Felidae,Leopardus geoffroyi,-60.854637,-31.733149,2019,AR
Felidae,Leopardus geoffroyi,-60.125245,-31.129865,2014,AR
Felidae,Leopardus geoffroyi,-59.955214,-30.61546,2014,AR
Felidae,Leopardus geoffroyi,-65.072059,-32.015519,2020,AR
Felidae,Leopardus geoffroyi,-60.472433,-31.511692,2008,AR
Felidae,Leopardus geoffroyi,-60.867477,-31.734617,2020,AR
Felidae,Leopardus geoffroyi,-59.988802,-32.335348,2019,AR
Felidae,Leopardus geoffroyi,-60.861845,-31.732139,2019,AR
Felidae,Leopardus geoffroyi,-60.426167,-31.845552,2018,AR
Felidae,Leopardus geoffroyi,-60.31094,-31.370679,2018,AR
Felidae,Leopardus geoffroyi,-60.861374,-31.729653,2020,AR
Felidae,Leopardus geoffroyi,-60.862784,-31.732658,2019,AR
Felidae,Leopardus geoffroyi,-60.862041,-31.655846,2019,AR
Felidae,Leopardus geoffroyi,-65.070645,-32.017283,2020,AR
Felidae,Leopardus geoffroyi,-60.491901,-31.534452,2019,AR
Felidae,Leopardus geoffroyi,-60.479792,-31.508634,2012,AR
Felidae,Leopardus geoffroyi,-60.77305,-31.478133,2018,AR
Felidae,Leopardus geoffroyi,-67.913444,-32.318385,2018,AR
Felidae,Leopardus tigrinus,-36.7396,-9.6701,2019,BR
Felidae,Leopardus guigna,-71.324037,-35.295957,2019,CL
Felidae,Leopardus guigna,-71.207556,-35.222819,2020,CL
Felidae,Leopardus geoffroyi,-54.24777,-29.26927,2020,BR
Felidae,Leopardus geoffroyi,-61.005873,-31.233629,2002,AR
Felidae,Leopardus geoffroyi,-60.063013,-31.387137,2020,AR
Felidae,Leopardus geoffroyi,-59.860434,-31.633294,2019,AR
Felidae,Leopardus geoffroyi,-67.581792,-30.204292,2018,AR
Felidae,Leopardus geoffroyi,-59.842241,-31.646304,2019,AR
Felidae,Leopardus tigrinus,-78.746578,-0.085994,2020,EC
Felidae,Leopardus geoffroyi,-57.851243,-31.971987,2020,UY
Felidae,Leopardus geoffroyi,-61.151274,-30.207895,2019,AR
Felidae,Leopardus geoffroyi,-68.637917,-34.281338,2015,AR
Felidae,Leopardus tigrinus,-78.531826,0.332338,2011,EC
Felidae,Leopardus tigrinus,-78.535835,0.372442,2011,EC
Felidae,Leopardus geoffroyi,-65.249133,-44.048496,2011,AR
Felidae,Leopardus geoffroyi,-57.196157,-28.544701,2016,AR
Felidae,Leopardus geoffroyi,-57.100067,-28.449393,2011,AR
Felidae,Leopardus geoffroyi,-57.213364,-28.54291,2007,AR
Felidae,Leopardus guigna,-73.71259,-41.887522,2016,CL
Felidae,Leopardus geoffroyi,-57.173456,-28.536053,2007,AR
Felidae,Leopardus geoffroyi,-58.892878,-34.216749,2018,AR
Felidae,Leopardus geoffroyi,-57.610187,-37.880343,2020,AR
Felidae,Leopardus guigna,-71.36819,-35.319479,2019,CL
Felidae,Leopardus guttulus,-46.74273,-22.87518,2020,BR
Felidae,Leopardus geoffroyi,-60.878127,-31.398978,2020,AR
Felidae,Leopardus guigna,-72.538199,-35.925985,2020,CL
Felidae,Leopardus geoffroyi,-58.671937,-37.586645,2018,AR
Felidae,Leopardus tigrinus,-78.071014,0.391808,2014,EC
Felidae,Leopardus geoffroyi,-58.760808,-37.747373,2016,AR
Felidae,Leopardus geoffroyi,-56.734121,-36.597613,2015,AR
Felidae,Leopardus geoffroyi,-56.734164,-36.595994,2015,AR
Felidae,Leopardus tigrinus,-77.12546,0.64538,2019,CO
Felidae,Leopardus tigrinus,-78.076213,0.258119,2018,EC
Felidae,Leopardus tigrinus,-78.133499,0.394435,2018,EC
