species,date_of_search,family,lon,lat,year,country
Leopardus geoffroyi,2021-05-04,Felidae,-52.8939018249512,-30.0391998291016,2000,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-55.5327987670898,-30.8908004760742,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-55.5327987670898,-30.8908004760742,2015,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-54.3199996948242,-30.3363990783691,2012,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-54.3199996948242,-30.3363990783691,2013,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-52.354722,-30.185861,2010,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-52.835,-32.01,2010,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-54.686583,-30.229111,2012,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.22155,2013,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.076972,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.069444,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-53.466389,-31.528889,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-55.566944,-30.060278,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-51.572778,-30.666111,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-51.167306,-30.008333,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.790278,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.790278,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.23994,2013,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.230469,2014,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,NA,-30.146944,2015,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-51.624722,NA,2015,Brasil
Leopardus geoffroyi,2021-05-04,Felidae,-51.4956016540527,-29.3768997192383,1996,Brasil
