gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1.53015130829482e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/74184993,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,UY,NA,Canelones,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-34.604054,-56.108951,2091,NA,NA,NA,NA,NA,2021-04-16T00:00:00Z,16,4,2021,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,74184993,NA,Ramiro Pereira Garbero,2021-04-16T22:49:08Z,CC_BY_NC_4_0,Ramiro Pereira Garbero,Ramiro Pereira Garbero,NA,NA,2021-05-02T20:38:05Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52709442187241e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73677497,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,NA,EC,NA,Napo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.468614,-77.843596,31451,NA,NA,NA,NA,NA,2019-12-15T19:59:00Z,15,12,2019,2434930,2434930,HUMAN_OBSERVATION,iNaturalist,Observations,73677497,NA,Ben,2021-04-11T22:21:52Z,CC_BY_NC_4_0,Ben,Ben,NA,NA,2021-05-02T20:17:31Z,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52707694133579e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73500170,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,NA,CO,NA,Antioquia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6.330025,-76.14253,31356,NA,NA,NA,NA,NA,2020-12-09T06:29:00Z,9,12,2020,2434930,2434930,HUMAN_OBSERVATION,iNaturalist,Observations,73500170,NA,Juan Carlos Delgado Madrid,2021-04-10T15:51:42Z,CC_BY_NC_4_0,Juan Carlos Delgado Madrid,Juan Carlos Delgado Madrid,NA,NA,2021-05-02T20:36:31Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52699873173219e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/63099790,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,AR,NA,Santa Fe,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-32.197307,-61.710434,3407,NA,NA,NA,NA,NA,2020-10-20T13:25:00Z,20,10,2020,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,63099790,NA,Nicolas Olejnik,2020-10-20T22:57:16Z,CC_BY_NC_4_0,raquelborghino,raquelborghino,NA,NA,2021-05-02T20:35:22Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52697437083739e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/25803525,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus guttulus,NA,SPECIES,"Leopardus guttulus (Hensel, 1872)",Leopardus guttulus,NA,BR,NA,ParanÃ¡,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-25.921713,-49.589683,29913,NA,NA,NA,NA,NA,2018-01-02T00:00:00Z,2,1,2018,7740958,7740958,HUMAN_OBSERVATION,iNaturalist,Observations,25803525,NA,Michele Chiacchio,2019-10-30T13:21:03Z,CC_BY_4_0,JJ Stupka,JJ Stupka,NA,NA,2021-05-02T20:32:56Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52696030034186e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73382764,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,NA,SPECIES,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,NA,AR,NA,Santa Fe,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-32.015921,-61.415999,122,NA,NA,NA,NA,NA,2018-01-19T08:32:00Z,19,1,2018,2434942,2434942,HUMAN_OBSERVATION,iNaturalist,Observations,73382764,NA,Patricio Cowper Coles,2021-04-09T12:40:30Z,CC_BY_4_0,Patricio Cowper Coles,Patricio Cowper Coles,NA,NA,2021-05-02T20:52:26Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52693559903583e-314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/73400243,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,NA,CO,NA,Antioquia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6.917497,-76.290322,31337,NA,NA,NA,NA,NA,2020-10-28T21:03:00Z,28,10,2020,2434930,2434930,HUMAN_OBSERVATION,iNaturalist,Observations,73400243,NA,Juan Carlos Delgado Madrid,2021-04-09T16:37:11Z,CC_BY_NC_4_0,Juan Carlos Delgado Madrid,Juan Carlos Delgado Madrid,NA,NA,2021-05-02T20:17:55Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1.52224788887205e-314,33aa7801-e09f-4dd0-8684-0e98fe53b74d,INCIVA:Parcela_Permanente_Mamiferos:CCT-022,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,"(Schreber, 1775)",CO,Hacienda El VolcÃ¡n,Valle del Cauca,PRESENT,1,a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31,4.02064,-76.353607,NA,NA,1104.5,54.5,NA,NA,2020-08-16T00:00:00Z,16,8,2020,2434930,2434930,MACHINE_OBSERVATION,Instituto para la InvestigaciÃ³n y la PreservaciÃ³n del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,NA,NA,NA,Tatiana Velasquez Roa,2020-08-16T00:00:00Z,CC_BY_4_0,NA,Tatiana Velasquez Roa,NA,NA,2021-04-21T20:51:11Z,NA,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1.52224788788392e-314,33aa7801-e09f-4dd0-8684-0e98fe53b74d,INCIVA:Parcela_Permanente_Mamiferos:CCT-021,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,"(Schreber, 1775)",CO,Hacienda El VolcÃ¡n,Valle del Cauca,PRESENT,1,a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31,4.02064,-76.353607,NA,NA,1104.5,54.5,NA,NA,2020-08-16T00:00:00Z,16,8,2020,2434930,2434930,MACHINE_OBSERVATION,Instituto para la InvestigaciÃ³n y la PreservaciÃ³n del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,NA,NA,NA,Tatiana Velasquez Roa,2020-08-16T00:00:00Z,CC_BY_4_0,NA,Tatiana Velasquez Roa,NA,NA,2021-04-21T20:51:11Z,NA,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1.52224786910943e-314,33aa7801-e09f-4dd0-8684-0e98fe53b74d,INCIVA:Parcela_Permanente_Mamiferos:CCT-017,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Leopardus tigrinus,NA,SPECIES,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,"(Schreber, 1775)",CO,Hacienda El VolcÃ¡n,Valle del Cauca,PRESENT,1,a7e6d0ba-9e3d-4be2-b3ac-2c5e812e0a31,4.02064,-76.353607,NA,NA,1104.5,54.5,NA,NA,2020-08-08T00:00:00Z,8,8,2020,2434930,2434930,MACHINE_OBSERVATION,Instituto para la InvestigaciÃ³n y la PreservaciÃ³n del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,NA,NA,NA,Tatiana Velasquez Roa,2020-08-08T00:00:00Z,CC_BY_4_0,NA,Tatiana Velasquez Roa,NA,NA,2021-04-21T20:51:11Z,NA,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
