"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","preparationType","individualCount","county","coordinatePrecision","sex","geoFlag","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters"
"1","2021-04-21 22:00:02-03","USNM","US-ANIMALIA","371278","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus","Helgen, Kristofer M., University of Adelaide (AUSTRALIA)","Smithsonian Venezuelan Project","1063","1965","9","3","South America","Venezuela","Distrito Federal","Caracas, 9.4 Km N, Hotel Humboldt","-66.87","10.55","066 52 -- W","10 33 -- N","2181","Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-21 22:00:02-03","USNM","US-ANIMALIA","374861","PreservedSpecimen","Animalia","Chordata","Mammalia","Carnivora","Felidae","Leopardus","tigrinus","Leopardus tigrinus",NA,"Smithsonian Venezuelan Project","9956","1966","7","11","South America","Venezuela","Bolivar","El Manteco, 28 Km SE, Los Patos","-62.37","7.18","062 22 -- W","07 11 -- N","350","Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-12-05 15:17:24-02","PUCRS","MCP-MAMIFEROS","756","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2000","04","04",NA,"Brasil","Rio Grande do Sul",NA,"-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,"Cachoeira do Sul","71201","Macho","auto",NA,NA,NA,NA,NA,NA
"4","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1958","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2014","08","10",NA,"Brasil","Rio Grande do Sul",NA,"-55.5327987670898","-30.8908004760742","55' 14' 24.9' W","30°48 36''S",NA,NA,NA,"Santana do Livramento","79795","Macho","auto",NA,NA,NA,NA,NA,NA
"5","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2180","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2015","01","19",NA,"Brasil","Rio Grande do Sul","BR 158","-55.5327987670898","-30.8908004760742","55' 03' 31''W","30°28°05''S",NA,NA,NA,"Santana do Livramento","79795","Fêmea","auto",NA,NA,NA,NA,NA,NA
"6","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","2174","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2012","09","23",NA,"Brasil","Rio Grande do Sul","BR 290","-54.3199996948242","-30.3363990783691",NA,NA,NA,NA,NA,"São Gabriel","56206","Fêmea","auto",NA,NA,NA,NA,NA,NA
"7","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1895","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2013","01","28",NA,"Brasil","Rio Grande do Sul","Br 290","-54.3199996948242","-30.3363990783691",NA,NA,NA,NA,NA,"São Gabriel","56206","Macho","auto",NA,NA,NA,NA,NA,NA
"8","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1819","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2010","09","28",NA,"Brasil","Rio Grande do Sul","BR 290","-52.354722","-30.185861","52° 21' 17''W","30°11' 09.1''S",NA,NA,NA,"Pantano Grande",NA,"Fêmea",NA,NA,NA,NA,NA,NA,NA
"9","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1802","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2010","08","17",NA,"Brasil","Rio Grande do Sul","BR 116","-52.835","-32.01","52° 50' 06''W","32° 00' 36''S",NA,NA,NA,"Jaguarão",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-12-05 15:17:23-02","PUCRS","MCP-MAMIFEROS","1812","S","Animalia",NA,NA,"Carnivora","Felidae","Leopardus","geoffroyi","Leopardus geoffroyi",NA,NA,NA,"2012","07","25",NA,"Brasil","Rio Grande do Sul","BR 290","-54.686583","-30.229111","54° 41' 11.7''W","30°13' 44.8''S",NA,NA,NA,"Entre São Gabriel e Rosário",NA,NA,NA,NA,NA,NA,NA,NA,NA
